Corannulene,53,"7H-Dibenz[a,kl]anthracene",102
Coronene,159,"Dibenz[a,l]aceanthrylene",215
"1,2-Cyclo-” 1',3 '-pentadienophenanthrene",27,"Dibenz[a,n]triphenylene",273
"1,2-Cyclo-” 1',4 '-pentadienophenanthrene",26,"13H-Dibenz[bc,j]aceanthrylene",146
Cyclohexatriene,1,"13H-Dibenz[bc,l]aceanthrylene",142
1H-Cyclopent[a]anthracene,25,"Dibenz[de,kl]anthracene",73
1H-Cyclopent[b]anthracene,28,"Dibenz[e,ghi]indeno[1,2,3,4-pqra]perylene",372
"Cyclopent[b]indeno[4,5-g]phenanthrene",160,"Dibenz[e,j]aceanthrylene",188
"Cyclopent[b]indeno[5,6-g]phenanthrene",161,"Dibenz[e,k]acephenanthrylene",228
"Cyclopent[i]indeno[5,6-a]anthracene",164,"Dibenz[e,l]aceanthrylene",195
15H-Cyclopenta[a]phenanthrene,27,"Dibenz[e,l]acephenanthrylene",224
17H-Cyclopenta[a]phenanthrene,26,"1,2,6,7-Dibenzanthracene",129
1H-Cyclopenta[a]pyrene,42,"1,2,7,8-Dibenzanthracene",127
11H-Cyclopenta[a]triphenylene,80,"1,2:3,4-Dibenzanthracene",123
8H-Cyclopenta[b]phenanthrene,24,"2,3:6,7-Dibenzanthracene",133
Cyclopenta[cd]perylene,110,"3,4,5,6-Dibenzanthracene",127
Cyclopenta[cd]pyrene,33,"2,2'-Dibenzanthracene",133
Cyclopenta[de]anthracene,20,"1,2,3,4-Dibenznaphthalene",36
Cyclopenta[de]naphthacene,66,"Dibenzo[a,c]chrysene",287
"13H-Dibenzo[a,c]fluorene",84,"Dibenzo[a,rst]pentaphene",348
"Dibenzo[a,c]naphthacene",282,"Dibenzo[b,def]chrysene",244
"Dibenzo[a,c]pentacene",467,"Dibenzo[b,e]fluoranthene",212
"Dibenzo[a,c]pentaphene",465,"Dibenzo[b,f]picene",466
"Dibenzo[a,c]picene",484,"8H-Dibenzo[b,fg]pyrene",151
"Dibenzo[a,c]tetraphene",286,"Dibenzo[b,g]chrysene",286
"Dibenzo[a,c]triphenylene",272,"7H-Dibenzo[b,g]fluorene",88
"Dibenzo[a,cd]naphtho[8,1,2,3-fghi]perylene",524,"Dibenzo[b,g]phenanthrene",125
"Dibenzo[a,d]coronene",528,"Dibenzo[b,ghi]fluoranthene",119
"13H-Dibenzo[a,de]naphth[2,3-h]anthracene",369,"Dibenzo[b,ghi]perylene",265
"4H-Dibenzo[a,de]naphthacene",253,"12H-Dibenzo[b,h]fluorene",96
"4H-Dibenzo[a,de]pentacene",370,"Dibenzo[b,h]phenanthrene",128
"Dibenzo[a,e]fluoranthene",214,"Dibenzo[b,h]pyrene",243
"Dibenzo[a,e]pyrene",234,"Dibenzo[b,j]fluoranthene",227
"Dibenzo[a,f]fluoranthene",216,"Dibenzo[b,j]plcene",479
"Dibenzo[a,f]perylene",328,"Dibenzo[b,jk]fluorene",71
"Dibenzo[a,f]picene",446,"Dibenzo[b,k]chrysene",305
"Dibenzo[a,f]tetraphene",273,"Dibenzo[b,k]fluoranthene",225
"Dibenzo[a,g]coronene",543,"Dibenzo[b,k]perylene",356
"13H-Dibenzo[a,g]fluorene",90,"Dibenzo[b,l]chrysene",296
"Dibenzo[a,ghi]naphtho[2,1,8-cde]perylene",523,"Dibenzo[b,l]fluoranthene",220
"Dibenzo[a,ghi]naphtho[2,1,8-lmn]perylene",527,"Dibenzo[b,m]picene",516
"Dibenzo[a,ghi]naphtho[8,1,2-klm]perylene",536,"13H-Dibenzo[b,mn]phenanthrene",101
"Dibenzo[a,ghi]perylene",262,"8H-Dibenzo[b,mn]phenanthrene",100
"13H-Dibenzo[a,h]fluorene",97,"Dibenzo[b,mno]fluoranthene",118
"Dibenzo[a,h]pentaphene",438,"Dibenzo[b,n]pentaphene",497
"Dibenzo[a,h]phenanthrene",131,"Dibenzo[b,n]perylene",352
"Dibenzo[a,h]pyrene",244,"Dibenzo[b,n]picene",508
"13H-Dibenzo[a,i]fluorene",92,"Dibenzo[b,p]chrysene",284
"Dibenzo[a,i]pyrene",243,"Dibenzo[b,pqr]perylene",266
"Dibenzo[a,j]coronene",551,"Dibenzo[b,qr]naphtho[3,2,1,8-defg]chrysene",401
"Dibenzo[a,j]fluoranthene",221,"Dibenzo[b,s]picene",481
"Dibenzo[a,j]naphthacene",300,"Dibenzo[b,tuv]naphtho[2,1-m]picene",655
"Dibenzo[a,j]perylene",337,"Dibenzo[b,tuv]picene",368
"Dibenzo[a,j]plcene",454,"Dibenzo[bc,ef]coronene",374
"Dibenzo[a,j]tetracene",300,"Dibenzo[bc,kl]coronene",376
"Dibenzo[a,jk]fluorene",70,"Dibenzo[c,f]tetraphene",284
"Dibenzo[a,k]fluoranthene",217,"Dibenzo[c,g]chrysene",280
"Dibenzo[a,k]tetraphene",291,"7H-Dibenzo[c,g]fluorene",85
"Dibenzo[a,l]fluoranthene",211,"Dibenzo[c,g]phenanthrene",122
"Dibenzo[a,l]naphthacene",297,"Dibenzo[c,h]pentaphene",462
"Dibenzo[a,l]pentacene",509,"Dibenzo[c,hi]naphtho[3,2,1,8-mnop]chrysene",381
"Dibenzo[a,l]pyrene",232,"Dibenzo[c,i]cyclopenta[a]fluorene",162
"Dibenzo[a,m]pentaphene",486,"Dibenzo[c,k]tetraphene",304
"Dibenzo[a,m]tetraphene",279,"Dibenzo[c,l]chrysene",293
"Dibenzo[a,n]pentacene",501,"Dibenzo[c,lm]fluorene",68
"Dibenzo[a,n]perylene",330,"Dibenzo[c,m]pentaphene",511
"Dibenzo[a,n]picene",490,"Dibenzo[c,m]picene",520
"Dibenzo[a,o]pentaphene",451,"Dibenzo[c,m]tetraphene",295
"Dibenzo[a,o]perylene",324,"5H-Dibenzo[c,mn]phenanthrene",99
"Dibenzo[a,o]picene",463,"Dibenzo[c,mno]chrysene",239
"Dibenzo[a,p]chrysene",288,"Dibenzo[c,p]chrysene",276
